Names,Offical_Name,Arrival_Date,Departure_Date,Country,Location_Type,Y,X,Destination_Type,Destination_Value,Entry_Style,Entry_Value,Mood_Type,Mood_Value
London,London,,5/14/1833,Great Britain,Place,51.50853,-0.12574,Passage,0.25,,,,
Blackheath,Blackheath,5/14/1833,5/14/1833,Great Britain,Place,51.4647,0.0079,Passage,0.25,,,,
Shooter's Hill,Shooter's Hill,5/14/1833,5/14/1833,Great Britain,Place,51.4692,0.06697,Passage,0.25,,,,
Dartford,Dartford,5/14/1833,5/14/1833,Great Britain,Place,51.44657,0.21423,Passage,0.25,,,,
Rochester,Rochester,5/14/1833,5/14/1833,Great Britain,Place,51.38764,0.50546,Passage,0.25,,,,
Sittingbourne,Sittingbourne,5/14/1833,5/14/1833,Great Britain,Place,51.34128,0.73282,Passage,0.25,,,,
Canterbury,Canterbury,5/14/1833,5/14/1833,Great Britain,Place,51.27904,1.07992,Passage,0.25,,,,
Dover,Dover,5/14/1833,5/15/1833,Great Britain,Place,51.13333,1.3,Sleep,0.5,,,,
Calais,Calais,5/15/1833,5/16/1833,France,Place,50.95194,1.85635,Stay,1,Experiential,2,Negative,0
Andres,Andres,5/16/1833,5/16/1833,France,Place,50.86556,1.92094,Passage,0.25,,,,
Liques,Larecouse,5/16/1833,5/16/1833,France,Place,50.78416,1.93844,Passage,0.25,,,,
St. Omer,St. Omère,5/16/1833,5/16/1833,France,Place,50.75,2.25,Passage,0.25,,,Positive,2
Cassel,Cassel,5/16/1833,5/17/1833,France,Place,50.80109,2.48527,Stay,1,Picturesque,1,Positive,2
Bailleul,Baileul,5/17/1833,5/17/1833,France,Place,50.73592,2.73594,Passage,0.25,,,,
Armentieres,Armentières,5/17/1833,5/17/1833,France,Place,50.68568,2.88214,Passage,0.25,,,,
Lille,Lille,5/17/1833,5/18/1833,France,Place,50.63297,3.05858,Sleep,0.5,Experiential,2,Neutral,1
Pont a Tressin (Tressin Bridge),Pont à Trissins,5/18/1833,5/18/1833,France,Bridge,50.6175,3.19354,Passage,0.25,,,,
Tournai,Tournay,5/18/1833,5/18/1833,Belgium,Place,50.60715,3.38932,Passage,0.25,Experiential,2,Positive,2
Leuse,Leuse,5/18/1833,5/18/1833,Belgium,Place,50.6,3.6,Passage,0.25,,,,
Ath,Ath,5/18/1833,5/18/1833,Belgium,Place,50.62937,3.77801,Passage,0.25,,,,
Enghien,Enghien,5/18/1833,5/18/1833,Belgium,Place,50.68373,4.03284,Passage,0.25,,,,
Halle,Hal,5/18/1833,5/18/1833,Belgium,Place,50.73385,4.23454,Passage,0.25,,,,
Brussels,Brussels,5/18/1833,5/22/1833,Belgium,Place,50.85045,4.34878,Stay,3,Experiential,2,Neutral,1
Waterloo,Waterloo,5/22/1833,5/22/1833,Belgium,Place,50.71469,4.3991,Passage,0.25,,,,
Genappe,Genappe,5/22/1833,5/22/1833,Belgium,Place,50.61173,4.45152,Passage,0.25,,,,
Sombrefe,Sombref,5/22/1833,5/22/1833,Belgium,Place,50.52865,4.60087,Passage,0.25,,,,
Namur,Namur,5/22/1833,5/23/1833,Belgium,Place,50.4669,4.86746,Sleep,0.5,Note,0,Negative,0
Huy,Huy,5/23/1833,5/23/1833,Belgium,Place,50.51894,5.23284,Passage,0.25,,,,
