time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-02T06:25:13.970Z,36.3338,-96.8077,3.42,2.9,mb_lg,,56,0.181,0.5,us,us10003jpt,2015-10-02T07:01:03.010Z,"0km SW of Pawnee, Oklahoma",earthquake
2015-10-02T06:07:53.600Z,36.335,-96.7952,5,2.6,mb_lg,,96,0.177,0.32,us,us10003jpr,2015-10-02T06:44:01.366Z,"0km ESE of Pawnee, Oklahoma",earthquake
2015-10-02T05:58:53.560Z,36.6098,-98.1458,7.45,3.8,mb_lg,,79,0.167,0.75,us,us10003jpm,2015-10-02T06:14:01.112Z,"13km ENE of Helena, Oklahoma",earthquake
2015-10-02T04:08:10.000Z,61.2228,-149.5596,26.5,2.7,ml,,,,0.85,ak,ak11728606,2015-10-02T05:42:06.818Z,"18km E of Anchorage, Alaska",earthquake
2015-10-02T02:34:34.900Z,18.0175,-65.3748,13,4.2,Md,21,151.2,0.18595126,0.21,pr,pr15275000,2015-10-02T06:12:35.742Z,"18km SE of Esperanza, Puerto Rico",earthquake
2015-10-02T01:58:18.090Z,-5.0349,134.1483,29.27,4.6,mb,,117,2.829,0.6,us,us10003jp6,2015-10-02T02:16:28.226Z,"81km N of Dobo, Indonesia",earthquake
2015-10-01T22:49:30.770Z,-16.2318,-173.7857,93.42,5.4,mb,,54,3.015,1.34,us,us10003jmk,2015-10-02T06:52:00.486Z,"31km S of Hihifo, Tonga",earthquake
2015-10-01T21:47:10.480Z,-12.4728,44.5278,15.11,4.6,mb,,52,9.725,0.35,us,us10003jm3,2015-10-02T05:03:19.192Z,"12km S of Antsahe, Comoros",earthquake
2015-10-01T21:28:26.440Z,32.8141,-96.9395,5,2.7,mb_lg,,78,0.023,0.59,us,us10003jlk,2015-10-02T05:24:18.756Z,"0km E of Irving, Texas",earthquake
2015-10-01T20:04:48.520Z,41.8687,-119.5953,7.2,3,ml,7,128.96,0.171,0.1497,nn,nn00513098,2015-10-02T04:07:23.153Z,"71km ESE of Lakeview, Oregon",earthquake
2015-10-01T19:42:46.910Z,-15.7422,-72.2717,29.86,4.9,mb,,151,3.2,1.44,us,us10003jkl,2015-10-01T21:20:31.820Z,"40km NW of Lluta, Peru",earthquake
2015-10-01T18:29:59.010Z,15.0429,-60.4906,63.45,4.5,mb,,108,0.457,0.91,us,us10003jk7,2015-10-02T02:55:40.483Z,"60km ENE of Petite Riviere Salee, Martinique",earthquake
2015-10-01T17:51:06.690Z,9.4557,-84.0864,36.71,4.2,mb,,135,0.379,0.88,us,us10003jjz,2015-10-02T02:47:45.074Z,"9km ENE of Quepos, Costa Rica",earthquake
2015-10-01T16:47:54.900Z,-32.8054,-72.0814,13.71,4.1,mwr,,134,0.431,1.06,us,us10003ji6,2015-10-02T00:50:34.878Z,"49km WNW of Valparaiso, Chile",earthquake
2015-10-01T15:37:20.200Z,36.731,-98.5605,6.598,2.8,ml,,121,,0.91,us,us10003jit,2015-10-01T23:40:00.411Z,"12km SE of Alva, Oklahoma",earthquake
2015-10-01T13:42:44.590Z,26.4601,127.8497,35,4.4,mb,,143,0.532,1.36,us,us10003jgv,2015-10-02T06:25:34.832Z,"4km NE of Ishikawa, Japan",earthquake
2015-10-01T12:28:42.200Z,18.645,-65.4736,69,2.9,Md,7,201.6,0.381784,0.14,pr,pr15274002,2015-10-01T20:31:12.685Z,"39km NE of Luquillo, Puerto Rico",earthquake
2015-10-01T11:01:24.300Z,18.9115,-64.5071,55,3.1,Md,3,262.8,0.24434176,0.17,pr,pr15274001,2015-10-01T19:04:01.382Z,"55km NNE of Road Town, British Virgin Islands",earthquake
2015-10-01T08:52:29.000Z,60.0639,-152.7333,103.1,2.6,ml,,,,0.44,ak,ak11727815,2015-10-01T16:55:29.512Z,"46km S of Redoubt Volcano, Alaska",earthquake
2015-10-01T08:42:25.000Z,62.9036,-151.307,111.4,2.5,ml,,,,0.47,ak,ak11727808,2015-10-01T16:45:04.615Z,"89km NW of Talkeetna, Alaska",earthquake
2015-10-01T07:47:32.810Z,36.2534,-97.2408,1.68,3.2,mb_lg,,59,0.438,0.48,us,us10003jfm,2015-10-02T02:34:17.692Z,"5km SE of Perry, Oklahoma",earthquake
